ticker,full_name,sector,market_cap,composite_percentile,pe_percentile,pb_percentile,ps_percentile,beta
V,Visa Inc. Class A (V),Financial Services,615822655488,45.812,10.358,97.594,29.483,0.57355
HD,The Home Depot Inc (HD),Consumer Cyclical,336207806464,51.319,86.342,9.623,57.992,0.159384
UL,Unilever PLC ADR (UL),Consumer Defensive,127089639424,51.796,45.388,47.079,62.923,0.175025
AMT,American Tower Corp (AMT),Real Estate,86544293888,43.797,5.785,81.65,43.956,0.174458
SHW,Sherwin-Williams Co (SHW),Basic Materials,78982586368,50.331,38.35,49.086,63.559,0.266398
NOC,Northrop Grumman Corporation (NOC),Industrials,77369892864,50.742,53.022,23.598,75.606,0.101795
MSI,Motorola Solutions Inc (MSI),Technology,68343701504,46.443,56.932,2.575,79.821,0.45928
KDP,Keurig Dr Pepper Inc (KDP),Consumer Defensive,43224977408,40.842,50.795,43.002,28.728,0.149439
QSR,Restaurant Brands International Inc (QSR),Consumer Cyclical,34485379072,44.579,75.885,38.946,18.907,0.176535
CQP,Cheniere Energy Partners LP (CQP),Energy,29207824384,47.116,62.466,3.155,75.726,0.285208
AVB,AvalonBay Communities Inc (AVB),Real Estate,26172557312,51.445,49.125,71.63,33.579,0.154704
VRSN,VeriSign Inc (VRSN),Technology,24839358464,50.497,51.869,,49.125,0.322144
WTW,Willis Towers Watson PLC (WTW),Financial Services,24410081280,45.496,16.767,83.201,36.521,0.61661
CHD,Church & Dwight Company Inc (CHD),Consumer Defensive,23296294912,49.921,76.561,25.308,47.893,0.175853
SUI,Sun Communities Inc (SUI),Real Estate,15907163136,40.436,0.591,57.117,63.598,0.220564
RPM,RPM International Inc (RPM),Basic Materials,13941038080,42.3,26.74,24.513,75.646,0.15209
SOLV,Solventum Corp. (SOLV),Healthcare,13317136384,51.762,37.903,30.376,87.007,0.102704
CNA,CNA Financial Corporation (CNA),Financial Services,12152270848,50.687,32.306,81.842,37.913,0.775006
UMBF,UMB Financial Corporation (UMBF),Financial Services,10198624256,43.453,41.054,50.398,38.907,0.317394
