ticker,full_name,sector,market_cap,composite_percentile,pe_percentile,pb_percentile,ps_percentile,beta
GOOG,Alphabet Inc Class C (GOOG),Communication Services,4479686541312,82.114,50.795,96.6,98.946,0.106192
AVGO,Broadcom Inc (AVGO),Technology,1874201149440,86.155,72.978,93.141,92.346,0.268483
VRT,Vertiv Holdings Co (VRT),Industrials,119815053312,84.733,60.942,95.936,97.321,1.37931
ENLAY,ENEL Societa per Azioni (ENLAY),Utilities,112132882432,88.312,65.573,99.98,99.384,0.185351
SO,Southern Company (SO),Utilities,105763389440,87.999,82.923,91.352,89.722,0.144517
DUK,Duke Energy Corporation (DUK),Utilities,97667817472,81.147,55.01,94.255,94.175,0.182938
WMB,Williams Companies Inc (WMB),Energy,87432142848,87.837,69.036,97.078,97.396,0.231732
BAESY,BAE Systems PLC (BAESY),Industrials,71721705472,81.186,93.579,56.402,93.579,0.310699
KMI,Kinder Morgan Inc (KMI),Energy,69993021440,82.687,55.179,96.879,96.004,0.116149
DLR,Digital Realty Trust Inc (DLR),Real Estate,66138554368,81.398,49.364,97.515,97.316,0.189288
VST,Vistra Corp. (VST),Utilities,53096189952,81.051,58.544,87.296,97.312,0.765141
CAH,Cardinal Health Inc (CAH),Healthcare,53024202752,87.965,77.063,,98.867,0.207143
XEL,Xcel Energy Inc (XEL),Utilities,49535791104,87.19,93.817,71.75,96.004,0.249912
CCJ,Cameco Corp (CCJ),Energy,46610739200,87.173,65.257,99.384,96.879,0.780554
DHI,DR Horton Inc (DHI),Consumer Cyclical,43980361728,81.107,94.453,61.372,87.495,0.135981
ED,Consolidated Edison Inc (ED),Utilities,39705387008,88.012,75.686,93.38,94.97,0.152429
VMC,Vulcan Materials Company (VMC),Basic Materials,39034163200,81.849,56.243,96.799,92.505,0.240966
AEE,Ameren Corp (AEE),Utilities,30323675136,87.442,65.706,98.628,97.992,0.23541
IMBBY,Imperial Brands PLC (IMBBY),Consumer Defensive,29138556928,87.367,,87.367,,0.271159
ATO,Atmos Energy Corporation (ATO),Utilities,28309602304,84.884,79.622,80.219,94.811,0.158619
USFD,US Foods Holding Corp (USFD),Consumer Defensive,20689823744,86.978,63.916,98.668,98.35,0.433766
BWXT,BWX Technologies Inc (BWXT),Industrials,17949599744,84.023,93.181,65.268,93.618,0.506544
ITT,ITT Inc (ITT),Industrials,17534937088,82.127,83.718,69.125,93.539,0.155518
PFGC,Performance Food Group Co (PFGC),Consumer Defensive,16473227264,86.94,86.388,82.883,91.551,0.266739
VICR,Vicor Corporation (VICR),Technology,14695902208,86.555,60.342,99.662,99.662,0.659071
DVA,DaVita HealthCare Partners Inc (DVA),Healthcare,13462803456,82.664,77.038,,88.29,0.113183
